muscle,url,muscle_group
Abdominal Muscles,https://app.strength.muscleandmotion.com/submuscle/13,
Abductor Digiti Minimi,https://app.strength.muscleandmotion.com/submuscle/68.3,
Abductor Digiti Minimi (1),https://app.strength.muscleandmotion.com/submuscle/59.1,Sole of Foot (1st Plantar Layer)
Abductor Halluci (3),https://app.strength.muscleandmotion.com/submuscle/59.3,Sole of Foot (1st Plantar Layer)
Abductor Pollicis Brevis (1),https://app.strength.muscleandmotion.com/submuscle/57.1,Intrinsic Muscles of the Thumb
Abductor Pollicis Longus (1),https://app.strength.muscleandmotion.com/submuscle/56.1,Extrinsic Muscles of the Thumb
Adductor Brevis,https://app.strength.muscleandmotion.com/submuscle/6.3,
Adductor Hallucis (2),https://app.strength.muscleandmotion.com/submuscle/61.2,Sole of Foot (3rd Plantar Layer)
Adductor Longus,https://app.strength.muscleandmotion.com/submuscle/6.4,
Adductor Magnus,https://app.strength.muscleandmotion.com/submuscle/6.1,
Adductor Pollicis (4),https://app.strength.muscleandmotion.com/submuscle/57.4,Intrinsic Muscles of the Thumb
Anconeus,https://app.strength.muscleandmotion.com/submuscle/29,
Anterior Deltoid,https://app.strength.muscleandmotion.com/submuscle/3.1,
Anterior Scalene,https://app.strength.muscleandmotion.com/submuscle/71.1,
Articularis Genu,https://app.strength.muscleandmotion.com/submuscle/99,
Biceps Brachii,https://app.strength.muscleandmotion.com/submuscle/30,
"Biceps Brachii, long head",https://app.strength.muscleandmotion.com/submuscle/30.2,
"Biceps Brachii, short head",https://app.strength.muscleandmotion.com/submuscle/30.1,
Biceps Femoris Long Head (Hamstring) (4),https://app.strength.muscleandmotion.com/submuscle/33.4,Hamstrings
Biceps Femoris Short Head (Hamstring) (3),https://app.strength.muscleandmotion.com/submuscle/33.3,Hamstrings
Brachialis,https://app.strength.muscleandmotion.com/submuscle/31,
Brachioradialis,https://app.strength.muscleandmotion.com/submuscle/15,
Buccinator (10),https://app.strength.muscleandmotion.com/submuscle/80.11,
Coccygeus,https://app.strength.muscleandmotion.com/submuscle/82.1,
Coracobrachialis,https://app.strength.muscleandmotion.com/submuscle/32,
Corrugator Supercilii (2),https://app.strength.muscleandmotion.com/submuscle/80.2,Muscles of Facial Expression
Deep Layer,https://app.strength.muscleandmotion.com/submuscle/78.2,
Deltoid,https://app.strength.muscleandmotion.com/submuscle/3,
Depressor Anguli Oris (13),https://app.strength.muscleandmotion.com/submuscle/80.14,
Depressor Labii Inferioris (14),https://app.strength.muscleandmotion.com/submuscle/80.15,
Diaphragm,https://app.strength.muscleandmotion.com/submuscle/63,
Diaphragm Muscle (Respiration),https://app.strength.muscleandmotion.com/submuscle/81.5,
Diaphragm Muscle (Respiration),https://app.strength.muscleandmotion.com/submuscle/67.3,
Digastric,https://app.strength.muscleandmotion.com/submuscle/77.3,
Dorsal Interossei (2),https://app.strength.muscleandmotion.com/submuscle/62.2,Sole of Foot (4th Plantar Layer)
Dorsal Interossei of the Hand,https://app.strength.muscleandmotion.com/submuscle/85.1,
Erector Spinae,https://app.strength.muscleandmotion.com/submuscle/21,
Erector Spinae Thoracic (Respiration),https://app.strength.muscleandmotion.com/submuscle/81.11,
Extensor Carpi Radialis Brevis (3),https://app.strength.muscleandmotion.com/submuscle/4.3,Wrist Extensors
Extensor Carpi Radialis Longus,https://app.strength.muscleandmotion.com/submuscle/84.1,
Extensor Carpi Radialis Longus (2),https://app.strength.muscleandmotion.com/submuscle/4.2,Wrist Extensors
Extensor Carpi Ulnaris,https://app.strength.muscleandmotion.com/submuscle/86.1,
Extensor Carpi Ulnaris (4),https://app.strength.muscleandmotion.com/submuscle/4.4,Wrist Extensors
Extensor Digiti Minimi (6),https://app.strength.muscleandmotion.com/submuscle/4.6,Wrist Extensors
Extensor Digitorum (1),https://app.strength.muscleandmotion.com/submuscle/4.1,Wrist Extensors
Extensor Digitorum Brevis,https://app.strength.muscleandmotion.com/submuscle/97,
Extensor Digitorum Longus,https://app.strength.muscleandmotion.com/submuscle/35,
Extensor Hallucis Brevis,https://app.strength.muscleandmotion.com/submuscle/98,
Extensor Hallucis Longus,https://app.strength.muscleandmotion.com/submuscle/36,
Extensor Indicis (5),https://app.strength.muscleandmotion.com/submuscle/4.5,Wrist Extensors
Extensor Pollicis Brevis (3),https://app.strength.muscleandmotion.com/submuscle/56.3,Extrinsic Muscles of the Thumb
Extensor Pollicis Longus (2),https://app.strength.muscleandmotion.com/submuscle/56.2,Extrinsic Muscles of the Thumb
External Intercostal,https://app.strength.muscleandmotion.com/submuscle/66.1,
External Oblique,https://app.strength.muscleandmotion.com/submuscle/13.3,
Extrinsic Muscles of the Thumb,https://app.strength.muscleandmotion.com/submuscle/56,
Flexor Carpi Radialis (3),https://app.strength.muscleandmotion.com/submuscle/14.3,Wrist Flexors
Flexor Carpi Ulnaris (5),https://app.strength.muscleandmotion.com/submuscle/14.5,Wrist Flexors
Flexor Digiti Minimi,https://app.strength.muscleandmotion.com/submuscle/68.2,
Flexor Digiti Minimi Brevis (3),https://app.strength.muscleandmotion.com/submuscle/61.3,Sole of Foot (3rd Plantar Layer)
Flexor Digitorum Brevis (2),https://app.strength.muscleandmotion.com/submuscle/59.2,Sole of Foot (1st Plantar Layer)
Flexor Digitorum Longus,https://app.strength.muscleandmotion.com/submuscle/37,
Flexor Digitorum Profundus (1),https://app.strength.muscleandmotion.com/submuscle/14.1,Wrist Flexors
Flexor Digitorum Superficialis (2),https://app.strength.muscleandmotion.com/submuscle/14.2,Wrist Flexors
Flexor Hallucis Brevis (1),https://app.strength.muscleandmotion.com/submuscle/61.1,Sole of Foot (3rd Plantar Layer)
Flexor Hallucis Longus,https://app.strength.muscleandmotion.com/submuscle/38,
Flexor Pollicis Brevis (2),https://app.strength.muscleandmotion.com/submuscle/57.2,Intrinsic Muscles of the Thumb
Flexor Pollicis Longus (4),https://app.strength.muscleandmotion.com/submuscle/56.4,Extrinsic Muscles of the Thumb
Frontalis (1),https://app.strength.muscleandmotion.com/submuscle/80.1,Muscles of Facial Expression
Gastrocnemius,https://app.strength.muscleandmotion.com/submuscle/39,
Geniohyoid,https://app.strength.muscleandmotion.com/submuscle/77.1,
Gluteus Maximus,https://app.strength.muscleandmotion.com/submuscle/41,
Gluteus Medius,https://app.strength.muscleandmotion.com/submuscle/42,
Gluteus Minimus,https://app.strength.muscleandmotion.com/submuscle/43,
Gracilis,https://app.strength.muscleandmotion.com/submuscle/6.5,
Hamstrings,https://app.strength.muscleandmotion.com/submuscle/33,
Hip Adductor Muscles,https://app.strength.muscleandmotion.com/submuscle/6,
Hip External Rotators (Deep Layer),https://app.strength.muscleandmotion.com/submuscle/44,
Hypothenar Eminence,https://app.strength.muscleandmotion.com/submuscle/68,
Iliacus,https://app.strength.muscleandmotion.com/submuscle/10,
Iliococcygeus,https://app.strength.muscleandmotion.com/submuscle/82.4,
Iliocostalis,https://app.strength.muscleandmotion.com/submuscle/21.1,
Inferior Gemellus (Hip Rotators) (5),https://app.strength.muscleandmotion.com/submuscle/44.5,Hip External Rotators (Deep Layer)
Inferior Oblique Part,https://app.strength.muscleandmotion.com/submuscle/73.3,
Infraspinatus,https://app.strength.muscleandmotion.com/submuscle/16,
Innermost Intercostal,https://app.strength.muscleandmotion.com/submuscle/66.3,
Intercostal Muscles,https://app.strength.muscleandmotion.com/submuscle/66,
Intercostal Muscles (Respiration),https://app.strength.muscleandmotion.com/submuscle/81.4,
Intercostal Muscles (Respiration),https://app.strength.muscleandmotion.com/submuscle/67.2,
Internal Intercostal,https://app.strength.muscleandmotion.com/submuscle/66.2,
Internal Oblique,https://app.strength.muscleandmotion.com/submuscle/13.2,
Intersegmental Muscles,https://app.strength.muscleandmotion.com/submuscle/23,
Interspinalis,https://app.strength.muscleandmotion.com/submuscle/23.1,
Intertransversarii,https://app.strength.muscleandmotion.com/submuscle/23.2,
Intrinsic Muscles of the Thumb,https://app.strength.muscleandmotion.com/submuscle/57,
Lateral Pterygoid,https://app.strength.muscleandmotion.com/submuscle/79.2,
Latissimus Dorsi,https://app.strength.muscleandmotion.com/submuscle/54,
Latissimus Dorsi (Respiration),https://app.strength.muscleandmotion.com/submuscle/81.7,
Levator Anguli Oris (8),https://app.strength.muscleandmotion.com/submuscle/80.8,Muscles of Facial Expression
Levator Costarum,https://app.strength.muscleandmotion.com/submuscle/88.1,
Levator Costarum,https://app.strength.muscleandmotion.com/submuscle/23.3,
Levator Costarum (Respiration),https://app.strength.muscleandmotion.com/submuscle/81.12,
Levator Labii Superioris Alaeque Nasi (16),https://app.strength.muscleandmotion.com/submuscle/80.17,
Levator Scapulae,https://app.strength.muscleandmotion.com/submuscle/17,
Longissimus,https://app.strength.muscleandmotion.com/submuscle/21.2,
Longitudinal Part (Vertical),https://app.strength.muscleandmotion.com/submuscle/73.1,
Longus Capitis,https://app.strength.muscleandmotion.com/submuscle/75,
Longus Colli,https://app.strength.muscleandmotion.com/submuscle/73,
Lower Trapezius,https://app.strength.muscleandmotion.com/submuscle/2.3,
Lumbrical Muscles,https://app.strength.muscleandmotion.com/submuscle/60.2,
Lumbrical Muscles of the Hand,https://app.strength.muscleandmotion.com/submuscle/93,
Masseter,https://app.strength.muscleandmotion.com/submuscle/78,
Masseter (11),https://app.strength.muscleandmotion.com/submuscle/80.12,
Medial Pterygoid,https://app.strength.muscleandmotion.com/submuscle/79.1,
Mentalis (15),https://app.strength.muscleandmotion.com/submuscle/80.16,
Middle Deltoid,https://app.strength.muscleandmotion.com/submuscle/3.2,
Middle Scalene,https://app.strength.muscleandmotion.com/submuscle/71.2,
Middle Trapezius,https://app.strength.muscleandmotion.com/submuscle/2.2,
Multifidus,https://app.strength.muscleandmotion.com/submuscle/22.2,
Muscles of Facial Expression,https://app.strength.muscleandmotion.com/submuscle/80,
Muscles of Forced Respiration,https://app.strength.muscleandmotion.com/submuscle/81,
Muscles of Quiet Respiration,https://app.strength.muscleandmotion.com/submuscle/67,
Mylohyoid,https://app.strength.muscleandmotion.com/submuscle/77.2,
Nasalis (5),https://app.strength.muscleandmotion.com/submuscle/80.5,Muscles of Facial Expression
Obliquus Capitis Inferior,https://app.strength.muscleandmotion.com/submuscle/65.4,
Obliquus Capitis Superior,https://app.strength.muscleandmotion.com/submuscle/65.3,
Obturator Externus (Hip Rotators) (1),https://app.strength.muscleandmotion.com/submuscle/44.1,Hip External Rotators (Deep Layer)
Obturator Internus (Hip Rotators) (2),https://app.strength.muscleandmotion.com/submuscle/44.2,Hip External Rotators (Deep Layer)
Omohyoid,https://app.strength.muscleandmotion.com/submuscle/94,
Opponens Digiti Minimi,https://app.strength.muscleandmotion.com/submuscle/68.1,
Opponens Digiti Minimi (4),https://app.strength.muscleandmotion.com/submuscle/61.4,Sole of Foot (3rd Plantar Layer)
Opponens Pollicis (3),https://app.strength.muscleandmotion.com/submuscle/57.3,Intrinsic Muscles of the Thumb
Orbicularis Oculi (4),https://app.strength.muscleandmotion.com/submuscle/80.4,Muscles of Facial Expression
Orbicularis Oris (12),https://app.strength.muscleandmotion.com/submuscle/80.13,
Palmar Interosseous Muscles,https://app.strength.muscleandmotion.com/submuscle/69,
Palmaris Brevis,https://app.strength.muscleandmotion.com/submuscle/83.1,
Palmaris Longus (4),https://app.strength.muscleandmotion.com/submuscle/14.4,Wrist Flexors
Pectineus,https://app.strength.muscleandmotion.com/submuscle/6.2,
Pectoralis Major,https://app.strength.muscleandmotion.com/submuscle/1,
Pectoralis Major (Respiration),https://app.strength.muscleandmotion.com/submuscle/81.3,
"Pectoralis Major, Clavicular Head",https://app.strength.muscleandmotion.com/submuscle/1.1,
"Pectoralis Major, Costal Head",https://app.strength.muscleandmotion.com/submuscle/1.3,
"Pectoralis Major, Sternal Head",https://app.strength.muscleandmotion.com/submuscle/1.2,
Pectoralis Minor,https://app.strength.muscleandmotion.com/submuscle/18,
Pectoralis Minor (Respiration),https://app.strength.muscleandmotion.com/submuscle/81.6,
Pelvic Diaphragm,https://app.strength.muscleandmotion.com/submuscle/82,
Peroneus Brevis,https://app.strength.muscleandmotion.com/submuscle/48,
Peroneus Longus,https://app.strength.muscleandmotion.com/submuscle/49,
Peroneus Tertius,https://app.strength.muscleandmotion.com/submuscle/50,
Piriformis (Hip Rotators) (3),https://app.strength.muscleandmotion.com/submuscle/44.3,Hip External Rotators (Deep Layer)
Plantar Interossei (1),https://app.strength.muscleandmotion.com/submuscle/62.1,Sole of Foot (4th Plantar Layer)
Plantaris,https://app.strength.muscleandmotion.com/submuscle/90.1,
Platysma,https://app.strength.muscleandmotion.com/submuscle/95,
Popliteus,https://app.strength.muscleandmotion.com/submuscle/51,
Posterior Deltoid,https://app.strength.muscleandmotion.com/submuscle/3.3,
Posterior Scalene,https://app.strength.muscleandmotion.com/submuscle/71.3,
Procerus (3),https://app.strength.muscleandmotion.com/submuscle/80.3,Muscles of Facial Expression
Pronator Quadratus,https://app.strength.muscleandmotion.com/submuscle/19,
Pronator Teres,https://app.strength.muscleandmotion.com/submuscle/20,
Psoas Major,https://app.strength.muscleandmotion.com/submuscle/11,
Psoas Minor,https://app.strength.muscleandmotion.com/submuscle/96,
Pterygoid Muscles,https://app.strength.muscleandmotion.com/submuscle/79,
Pubococcygeus,https://app.strength.muscleandmotion.com/submuscle/82.3,
Puborectalis,https://app.strength.muscleandmotion.com/submuscle/82.2,
Quadratus Femoris (Hip Rotators) (4),https://app.strength.muscleandmotion.com/submuscle/44.4,Hip External Rotators (Deep Layer)
Quadratus Lumborum,https://app.strength.muscleandmotion.com/submuscle/70,
Quadratus Lumborum (Respiration),https://app.strength.muscleandmotion.com/submuscle/81.13,
Quadratus Plantae,https://app.strength.muscleandmotion.com/submuscle/60.1,
Quadriceps Femoris,https://app.strength.muscleandmotion.com/submuscle/7,
Rectus Abdominis,https://app.strength.muscleandmotion.com/submuscle/13.1,
Rectus Capitis Anterior,https://app.strength.muscleandmotion.com/submuscle/74,
Rectus Capitis Lateralis,https://app.strength.muscleandmotion.com/submuscle/74.1,
Rectus Capitis Posterior Major,https://app.strength.muscleandmotion.com/submuscle/65.1,
Rectus Capitis Posterior Minor,https://app.strength.muscleandmotion.com/submuscle/65.2,
Rectus Femoris,https://app.strength.muscleandmotion.com/submuscle/7.1,
Rhomboid Major,https://app.strength.muscleandmotion.com/submuscle/53.1,
Rhomboid Minor,https://app.strength.muscleandmotion.com/submuscle/53.2,
Rhomboid Muscles,https://app.strength.muscleandmotion.com/submuscle/53,
Risorius (9),https://app.strength.muscleandmotion.com/submuscle/80.9,Muscles of Facial Expression
Rotatores,https://app.strength.muscleandmotion.com/submuscle/22.3,
Sartorius,https://app.strength.muscleandmotion.com/submuscle/8,
Scalene Muscles,https://app.strength.muscleandmotion.com/submuscle/71,
Scalene Muslces (Respiration),https://app.strength.muscleandmotion.com/submuscle/81.1,
Scalene Muslces (Respiration),https://app.strength.muscleandmotion.com/submuscle/67.1,
Semimembranosus (Hamstring) (1),https://app.strength.muscleandmotion.com/submuscle/33.1,Hamstrings
Semispinalis Capitis,https://app.strength.muscleandmotion.com/submuscle/22.4,
Semispinalis Cervicis,https://app.strength.muscleandmotion.com/submuscle/22.5,
Semispinalis Thoracis,https://app.strength.muscleandmotion.com/submuscle/22.1,
Semitendinosus (Hamstring) (2),https://app.strength.muscleandmotion.com/submuscle/33.2,Hamstrings
Serratus Anterior,https://app.strength.muscleandmotion.com/submuscle/12,
Serratus Posterior,https://app.strength.muscleandmotion.com/submuscle/64,
Serratus Posterior Inferior,https://app.strength.muscleandmotion.com/submuscle/64.2,
Serratus Posterior Inferior (Respiration),https://app.strength.muscleandmotion.com/submuscle/81.9,
Serratus Posterior Superior,https://app.strength.muscleandmotion.com/submuscle/64.1,
Serratus Posterior Superior (Respiration),https://app.strength.muscleandmotion.com/submuscle/81.8,
Sole of Foot (1st Plantar Layer),https://app.strength.muscleandmotion.com/submuscle/59,
Sole of Foot (2nd Plantar Layer),https://app.strength.muscleandmotion.com/submuscle/60,
Sole of Foot (3rd Plantar Layer),https://app.strength.muscleandmotion.com/submuscle/61,
Sole of Foot (4th Plantar Layer),https://app.strength.muscleandmotion.com/submuscle/62,
Soleus,https://app.strength.muscleandmotion.com/submuscle/40,
Spinalis,https://app.strength.muscleandmotion.com/submuscle/21.3,
Splenius Capitis,https://app.strength.muscleandmotion.com/submuscle/72.1,
Splenius Capitis & Cervicis,https://app.strength.muscleandmotion.com/submuscle/72,
Splenius Cervicis,https://app.strength.muscleandmotion.com/submuscle/72.2,
Sternocleidomastoid,https://app.strength.muscleandmotion.com/submuscle/45,
Sternocleidomastoid (Respiration),https://app.strength.muscleandmotion.com/submuscle/81.2,
Sternohyoid,https://app.strength.muscleandmotion.com/submuscle/89.1,
Sternothyroid,https://app.strength.muscleandmotion.com/submuscle/103,
Stylohyoid,https://app.strength.muscleandmotion.com/submuscle/77.4,
Subclavius,https://app.strength.muscleandmotion.com/submuscle/87.1,
Suboccipital Muscles,https://app.strength.muscleandmotion.com/submuscle/65,
Subscapularis,https://app.strength.muscleandmotion.com/submuscle/24,
Superficial Layer,https://app.strength.muscleandmotion.com/submuscle/78.1,
Superior Gemellus (Hip Rotators) (6),https://app.strength.muscleandmotion.com/submuscle/44.6,Hip External Rotators (Deep Layer)
Superior Oblique Part,https://app.strength.muscleandmotion.com/submuscle/73.2,
Supinator,https://app.strength.muscleandmotion.com/submuscle/25,
Suprahyoid Muscles,https://app.strength.muscleandmotion.com/submuscle/77,
Supraspinatus,https://app.strength.muscleandmotion.com/submuscle/26,
Temporalis,https://app.strength.muscleandmotion.com/submuscle/76,
Tensor Fasciae Latae,https://app.strength.muscleandmotion.com/submuscle/46,
Teres Major,https://app.strength.muscleandmotion.com/submuscle/27,
Teres Minor,https://app.strength.muscleandmotion.com/submuscle/28,
Thyrohyoid,https://app.strength.muscleandmotion.com/submuscle/101,
Tibialis Anterior,https://app.strength.muscleandmotion.com/submuscle/9,
Tibialis Posterior,https://app.strength.muscleandmotion.com/submuscle/52,
Transversospinales Muscles,https://app.strength.muscleandmotion.com/submuscle/22,
Transversus Abdominis,https://app.strength.muscleandmotion.com/submuscle/13.4,
Transversus Thoracis,https://app.strength.muscleandmotion.com/submuscle/100,
Trapezius,https://app.strength.muscleandmotion.com/submuscle/2,
Triceps Brachii,https://app.strength.muscleandmotion.com/submuscle/5,
"Triceps Brachii, Lateral Head",https://app.strength.muscleandmotion.com/submuscle/5.2,
"Triceps Brachii, Long Head",https://app.strength.muscleandmotion.com/submuscle/5.1,
"Triceps Brachii, Medial Head",https://app.strength.muscleandmotion.com/submuscle/5.3,
Upper Trapezius,https://app.strength.muscleandmotion.com/submuscle/2.1,
Vastus Intermedius,https://app.strength.muscleandmotion.com/submuscle/7.4,
Vastus Lateralis,https://app.strength.muscleandmotion.com/submuscle/7.2,
Vastus Medialis,https://app.strength.muscleandmotion.com/submuscle/7.3,
Wrist Extensors,https://app.strength.muscleandmotion.com/submuscle/4,
Wrist Flexors,https://app.strength.muscleandmotion.com/submuscle/14,
Zygomaticus Major (7),https://app.strength.muscleandmotion.com/submuscle/80.7,Muscles of Facial Expression
Zygomaticus Minor (6),https://app.strength.muscleandmotion.com/submuscle/80.6,Muscles of Facial Expression
